town,total,
GRANVILLE,120180.67,
HANCOCK,168537.5,
LINCOLN,49685.78,
NEW HAVEN,97147.33,
RIPTON,8142.24,
ARLINGTON,192557.08,
BENNINGTON,140894.81,
DORSET,0,
MANCHESTER,194994.57,
POWNAL,59424.68,
READSBORO,0,
RUPERT,19257.34,
SHAFTSBURY,56303.85,
STAMFORD,15000,
SUNDERLAND,182853.4,
WINHALL,111235.35,
GROTON,34139.49,
HARDWICK,78019.39,
LYNDON,672733.03,
RYEGATE,110064.33,
ST. JOHNSBURY,199332.36,
BOLTON,113918.69,
BURLINGTON,5066.32,
HINESBURG,0,
HUNTINGTON,4997.03,
MILTON,0,
RICHMOND,383799.37,
SOUTH BURLINGTON,250.91,
MONTGOMERY,4438.54,
CAMBRIDGE,0,
JOHNSON,7689.34,
MORRISTOWN,203112.5,
STOWE,4346.71,
WOLCOTT,38371.57,
BRADFORD,0,
BRAINTREE,60000,
CHELSEA,49946.76,
CORINTH,0,
NEWBURY,32083.97,
RANDOLPH,478787.22,
STRAFFORD,120988.64,
THETFORD,17658.97,
TOPSHAM,21380.77,
WEST FAIRLEE,0,
WILLIAMSTOWN,0,
BARTON,47764.52,
COVENTRY,133944.25,
JAY,4628.04,
TROY,33695.61,
BRANDON,370179.14,
CASTLETON,19369.99,
CLARENDON,4463.11,
DANBY,9007.68,
FAIR HAVEN,20368.15,
IRA,11500,
MIDDLETOWN SPRINGS,6337.2,
MOUNT HOLLY,9917.16,
PAWLET,70106.78,
PITTSFIELD,162510.51,
PITTSFORD,48860.05,
POULTNEY,210123.75,
PROCTOR,153307,
RUTLAND,899024.01,
SHREWSBURY,164551.45,
WALLINGFORD,604334.61,
WEST RUTLAND,55126.86,
BARRE,30041.72,
BERLIN,756967.18,
DUXBURY,280787.55,
MIDDLESEX,216004.18,
MONTPELIER,406781.92,
MORETOWN,2578177.87,
NORTHFIELD,2025259.69,
ROXBURY,54173.66,
WAITSFIELD,842899.56,
WARREN,106854.71,
WATERBURY,5137033.92,
BRATTLEBORO,2327794.99,
BROOKLINE,347115,
DOVER,184013.66,
GRAFTON,178556.77,
GUILFORD,31866.03,
JAMAICA,406909.19,
LONDONDERRY,589139.72,
MARLBORO,56974.96,
NEWFANE,587710.52,
ROCKINGHAM,245903.34,
TOWNSHEND,0,
VERNON,1088.76,
WARDSBORO,482389.4,
WESTMINSTER,406786.21,
WHITINGHAM,152093.63,
WILMINGTON,3106377.37,
BARNARD,6917.85,
BETHEL,801982.5,
BRIDGEWATER,842095.78,
CAVENDISH,554223.48,
CHESTER,821374.03,
HARTFORD,1399074.01,
HARTLAND,1931.85,
LUDLOW,2831179.42,
NORWICH,0,
PLYMOUTH,561286.49,
READING,68496.41,
ROCHESTER,440128.99,
ROYALTON,586826.65,
SHARON,130455.07,
SPRINGFIELD,11730.06,
STOCKBRIDGE,1046305.42,
WEATHERSFIELD,131370.44,
WESTON,188356.08,
WINDSOR,63316.47,
WOODSTOCK,3696504.8,
