agency,dollars
Agency of Transportation,21682364
Department of Buildings & General Services,11552704
Department of Public Saftey,1146857
Fish & Wildlife Department,817604
"Department of Forests, Parks & Recreation",765641
Military Department,144962
Department of Health,36717
Vt Dept of Environmental Conservation,26650
Vt Division For Historic Preservation,14269
Vt Department Of Mental Health,12572
"Vermont Agency Of Agriculture, Food & Markets",6582
Vt Department For Children And Families,6485
Vermont Department Of Corrections,5990
Vermont Department Of Human Resources,5990
Vt Agency Of Human Services,5990
Vt Center For Crime Victim Services,4294
Vermont Department Of Information & Innovation,639
"Dept. Of Disabilities, Aging & Independent Living",495
,
total,36236803
