town,federal,state,local,sum,,
ALBANY,1645.78,0,0,1645.78,,
ANDOVER,202064.72,2383.86,2193.5,206642.08,,
ARLINGTON,32281.45,4731.26,0,37012.71,,
ATHENS,327.12,0,0,327.12,,
BARNARD,705365.87,1456.11,0,706821.98,,
BARTON,11936.9,0,0,11936.9,,
BENNINGTON,1229838.02,94381.62,0,1324219.64,,
BENSON,13075.5,0,0,13075.5,,
BERLIN,272936.59,2292.96,0,275229.55,,
BETHEL,4832978.8,121845.07,16500.95,4971324.82,,
BOLTON,20128.68,0,0,20128.68,,
BRAINTREE,645985,4485.3,0,650470.3,,
BRANDON,260234.25,10.45,0,260244.7,,
BRATTLEBORO,1497452.56,60474.07,0,1557926.63,,
BRIDGEWATER,2475993.83,55107.44,0,2531101.27,,
BRIGHTON,312388.45,49720.08,0,362108.53,,
BRISTOL,551921.7,0,0,551921.7,,
BROOKFIELD,8645.77,0,0,8645.77,,
BRUNSWICK,0,0,0,0,,
CABOT,70040.87,0,0,70040.87,,
CAMBRIDGE,22397.43,0,0,22397.43,,
CASTLETON,56239.24,283.8,0,56523.04,,
CAVENDISH,3631738.9,73925,0,3705663.9,,
CHARLESTON,11459.81,596.04,0,12055.85,,
CHELSEA,8400.34,387.51,0,8787.85,,
CHESTER,1328008.44,15356.22,0,1343364.66,,
CHITTENDEN,18396.63,0,0,18396.63,,
CLARENDON,797881.72,165.86,0,798047.58,,
COLCHESTER,3135.88,0,0,3135.88,,
COVENTRY,10763.89,0,0,10763.89,,
CRAFTSBURY,21889.73,0,0,21889.73,,
DANBY,135935.29,0,0,135935.29,,
DANVILLE,18396.01,0,0,18396.01,,
DORSET,9606.36,0,0,9606.36,,
DOVER,58230.08,181.69,0,58411.77,,
DUMMERSTON,647263.6,0,0,647263.6,,
EAST MONTPELIER,673192.35,18686.45,0,691878.8,,
ELMORE,8623.32,0,0,8623.32,,
FAYSTON,150745.64,4286.06,9610,164641.7,,
GLASTENBURY,56325.49,0,0,56325.49,,
GOSHEN,758561.63,76839.93,0,835401.56,,
GRAFTON,1763554,22158.19,24841.02,1810553.21,,
GRANVILLE,1582051.68,19855.28,0,1601906.96,,
GREENSBORO,26652.18,0,0,26652.18,,
GROTON,253355.14,0,0,253355.14,,
GUILDHALL,1284,0,0,1284,,
GUILFORD,9957.5,0,0,9957.5,,
HALIFAX,326681.75,4794.08,0,331475.83,,
HANCOCK,1998084.17,243221.7,0,2241305.87,,
HARDWICK,288730.12,0,0,288730.12,,
HARTFORD,1076392.35,89703.08,88872.27,1254967.7,,
HARTLAND,111909.96,0,0,111909.96,,
HUBBARDTON,1338701.78,274876.26,0,1613578.04,,
HUNTINGTON,40281,0,0,40281,,
HURRICANE,0,674815.37,0,674815.37,,
IRA,92376.1,319.2,0,92695.3,,
IRASBURG,58571.4,1488.27,0,60059.67,,
JAMAICA,5345943.25,567577.52,0,5913520.77,,
JAY,67760.06,961.95,0,68722.01,,
JOHNSON,8113.77,0,0,8113.77,,
KILLINGTON,738086.73,16453.35,0,754540.08,,
LINCOLN,83306.02,0,0,83306.02,,
LONDONDERRY,470242.9,20847.01,0,491089.91,,
LOWELL,63252.18,14759.85,0,78012.03,,
LUDLOW,381249.52,9215.57,0,390465.09,,
LUNENBURG,1434.59,0,0,1434.59,,
LYNDON,29295.28,327.13,0,29622.41,,
MANCHESTER,91890.13,524.61,0,92414.74,,
MARLBORO,757972.03,15664.77,0,773636.8,,
MARSHFIELD,4390.5,0,0,4390.5,,
MENDON,2391248.99,20673.64,0,2411922.63,,
MIDDLESEX,3592,0,0,3592,,
MIDDLETOWN SPRINGS,298670.85,25112.93,28153.5,351937.28,,
MONTGOMERY,12715.5,0,0,12715.5,,
MONTPELIER,7826.23,0,0,7826.23,,
MORETOWN,222224.21,9584.2,0,231808.41,,
MOUNT HOLLY,489443.26,46630.85,630.36,536704.47,,
MOUNT TABOR,66632.21,5075.22,0,71707.43,,
NEWBURY,2439.36,0,0,2439.36,,
NEWFANE,1950341.5,3741.31,4194.29,1958277.1,,
NEWPORT,49.5,0,0,49.5,,
NORTH HERO,22501.4,0,0,22501.4,,
NORTHFIELD,559427.15,352.33,0,559779.48,,
ORANGE,21059.3,0,0,21059.3,,
ORWELL,19552.16,0,0,19552.16,,
PAWLET,503697.36,21922.6,0,525619.96,,
PERU,46239.15,8713.07,0,54952.22,,
PITTSFIELD,3218060.525,142133.47,0,2288161.77,,
PITTSFORD,5689.01,0,0,5689.01,,
PLAINFIELD,469.52,0,0,469.52,,
PLYMOUTH,3677161.73,147342.29,0,3824504.02,,
POMFRET,187859.2,0,0,187859.2,,
POULTNEY,1770.97,0,0,1770.97,,
POWNAL,1115.24,0,0,1115.24,,
PROCTOR,4605.71,0,0,4605.71,,
RANDOLPH,17818.38,1509.82,0,19328.2,,
READING,381361.38,808.74,0,382170.12,,
