town,ihp_total,ha_amount,on_amount,pa_total,hmgp_total,nfi,fema_total,fha
Calais,0,0,0,0,0,0,0,0
Addison,512,512,0,16146,0,0,16658,0
Albany,2372,2372,0,480122,0,0,482494,1645.78
Alburgh,0,0,0,0,0,0,0,0
Andover,31223,30434,789,266527,0,0,297750,202064.72
Arlington,246511,238852,7659,179606,0,192557.08,618674.08,32281.45
Weathersfield,102157,98350,3806,485294,0,131370.44,718821.44,2425361.62
Athens,27788,27788,0,131298,0,0,159086,327.12
Averill,0,0,0,0,0,0,0,0
Bakersfield,0,0,0,0,0,0,0,0
Baltimore,0,0,0,15335,0,0,15335,0
Barnard,108980,108980,0,1545838,0,6917.85,1661735.85,705365.87
Barnet,3996,3996,0,55417,0,0,59413,0
Barre,52773,49753,3020,128999,286000,30041.72,497813.72,0
Barton,8456,6846,1609,22315,0,47764.52,78535.52,11936.9
Canaan,0,0,0,0,0,0,0,0
Rockingham,221485,195308,26177,1461653,196000,245903.34,2125041.34,958786.63
Mount Holly,46834,46634,200,443275,0,9917.16,500026.16,489443.26
Belvidere,0,0,0,0,0,0,0,0
Bennington,296337,264104,32233,1770202,0,140894.81,2207433.81,1229838.02
Benson,3080,2880,200,145416,0,0,148496,13075.5
Berlin,885420,821081,64340,447723,0,756967.18,2090110.18,272936.59
Bethel,838388,787376,51012,5206254,564000,801982.5,7410624.5,4832978.8
Bolton,21414,21014,400,105950,75000,113918.69,316282.69,20128.68
Castleton,37857,35659,2198,115262,0,19369.99,172488.99,56239.24
Winhall,26297,26297,0,183850,0,111235.35,321382.35,405778.69
Bradford,2567,2567,0,3420,0,0,5987,0
Braintree,228284,224710,3574,2005277,0,60000,2293561,645985
Brandon,116510,114373,2137,578049,122000,370179.14,1186738.14,260234.25
Brattleboro,699522,628571,70951,1740906,236000,2327794.99,5004222.99,1497452.56
Bridgewater,628942,616070,12872,1842172,918000,842095.78,4231209.78,2475993.83
Bridport,0,0,0,487360,0,0,487360,0
Brighton,0,0,0,27850,0,0,27850,312388.45
Bristol,6567,6567,0,39909,0,0,46476,551921.7
Brookfield,49980,49980,0,62556,0,0,112536,8645.77
Brookline,38900,38003,897,38593,0,347115,424608,0
Brownington,0,0,0,710762,0,0,710762,0
West Windsor,101179,99242,1937,668249,0,0,769428,337438.1
Burlington,14273,14073,200,14851,154000,5066.32,188190.32,0
Cabot,8677,8677,0,0,0,0,8677,70040.87
Cambridge,13632,13632,0,22451,0,0,36083,22397.43
Grafton,113139,112957,182,2886538,184000,178556.77,3362233.77,1763554
Cavendish,318209,288733,29476,3248006,0,554223.48,4120438.48,3631738.9
Rutland,670141,621826,48316,959024,0,899024.01,2528189.01,73259.88
Charleston,385,385,0,168655,0,0,169040,11459.81
Charlotte,0,0,0,0,0,0,0,0
Chelsea,0,0,0,5886,0,49946.76,55832.76,8400.34
Chester,238095,219662,18433,1645284,464000,821374.03,3168753.03,1328008.44
Chittenden,5414,5414,0,174719,0,0,180133,18396.63
Clarendon,132942,130598,2343,3137,60000,4463.11,200542.11,797881.72
Colchester,15955,15955,0,0,0,0,15955,3135.88
Concord,1477,1477,0,0,0,0,1477,0
Corinth,49038,49038,0,56156,0,0,105194,0
Cornwall,1415,1415,0,0,0,0,1415,0
Coventry,13791,12842,949,17768,0,133944.25,165503.25,10763.89
Craftsbury,0,0,0,16265,0,0,16265,21889.73
Shrewsbury,102956,101349,1606,3001918,0,164551.45,3269425.45,228996.47
Danby,59434,53000,6434,147915,58000,9007.68,274356.68,135935.29
Danville,9722,9722,0,60788,0,0,70510,18396.01
Derby,0,0,0,0,0,0,0,0
Dorset,91223,87793,3430,13241,0,0,104464,9606.36
Dover,169248,159923,9325,456882,0,184013.66,810143.66,58230.08
Dummerston,4176,4176,0,52050,0,0,56226,647263.6
Duxbury,36275,30409,5866,629595,0,280787.55,946657.55,0
Berkshire,0,0,0,0,0,0,0,0
Burke,3545,3545,0,0,0,0,3545,0
Fairfield,0,0,0,0,0,0,0,0
Hardwick,38192,29853,8340,23473,0,78019.39,139684.39,288730.12
East Haven,0,0,0,0,0,0,0,0
Middlebury,45408,44542,866,64823,0,0,110231,0
East Montpelier,41386,36613,4773,32135,0,0,73521,673192.35
Randolph,401538,381417,20122,733461,0,478787.22,1613786.22,17818.38
Thetford,49703,47387,2316,22799,0,17658.97,90160.97,131721.02
Wallingford,196928,186603,10326,274952,0,604334.61,1076214.61,296885.15
Eden,0,0,0,0,0,0,0,0
Elmore,2705,2705,0,46318,0,0,49023,8623.32
Enosburg,4080,4080,0,3141,0,0,7221,0
Essex,0,0,0,0,0,0,0,0
Fair Haven,51312,41251,10061,1693,0,20368.15,73373.15,0
Fairfax,554,554,0,0,0,0,554,0
Fairlee,2359,2359,0,0,0,0,2359,0
Fayston,0,0,0,11264,0,0,11264,150745.64
Ferrisburgh,4476,4476,0,0,0,0,4476,0
Pittsford,65535,45723,19812,61590,0,48860.05,175985.05,5689.01
Franklin,0,0,0,0,0,0,0,0
Stockbridge,558256,521541,36715,4426029,1700000,1046305.42,7730590.42,2.07E+07
Lunenburg,10846,10846,0,24347,0,0,35193,1434.59
Glover,0,0,0,0,0,0,0,0
Goshen,0,0,0,38522,0,0,38522,758561.63
Grand Isle,0,0,0,0,0,0,0,0
Granville,118310,115813,2497,528820,550000,120180.67,1317310.67,1582051.68
Greensboro,719,719,0,35142,0,0,35861,26652.18
Groton,43235,41054,2180,524113,0,34139.49,601487.49,253355.14
Guildhall,0,0,0,0,0,0,0,1284
Guilford,27050,27050,0,860816,0,31866.03,919732.03,9957.5
Halifax,65001,63673,1328,3971322,0,0,4036323,326681.75
Hancock,150818,147135,3683,1414492,0,168537.5,1733847.5,1998084.17
Hartford,760554,692504,68050,2120389,1400000,1399074.01,5680017.01,1076392.35
Hartland,79659,79005,654,127460,0,1931.85,209050.85,111909.96
