organization,amount
Mad River Valley Community Fund,1350811
Rebuild Waterbury,994463
Woodstock Flood Relief Fund,556441
Wilmington VT Flood Relief,500000
Green Mountain United Way,435604
Upper Valley Strong LTRC,381035
Vermont Food Bank,260000
High Meadows Fund,236660
Southeast Vermont LTRC,217195
Wilmington Fund,"213,500"
Human Web,208153
Episcopal Diocese of Vermont,169046
Intervale Center Farmer's Recovery Fund,155000
Floodstock,65000
Vermont Arts Council,30000
Town of Newfane,21650
Heartworks of Vermont,20000
Central Valley LTRC,18000
Craft Emergency Relief Fund,14303
Precision Valley LTRC,11874
