town,rotary,efficiency,flood,preservation
Andover,3680,0,0,0
Athens,2385,0,0,0
Rockingham,8226,3500,6500,13000
Brattleboro,4843,11050,28500,11000
Bridgewater,9225,3950,11000,10546
Cavendish,5000,6000,4000,17564
Chester,5514,1400,0,0
Guilford,1200,0,2000,2000
Halifax,285,0,2500,0
Hartford,7540,21688,57500,13300
Jamaica,1190,7192,5500,0
Ludlow,9793,11850,14000,0
Marlboro,3153,0,0,0
Newfane,7775,1100,3500,0
Putney,5000,0,0,0
Reading,1794,3000,0,0
Sharon,2364,5200,9000,0
Springfield,6000,0,0,0
Townshend,2000,0,0,450
Wardsboro,2984,1600,2500,0
Weathersfield,295,0,0,0
Weston,1500,0,2500,10000
Whitingham,1692,5296,5000,0
Wilmington,6873,47960,83000,65571
Windsor,9896,5000,2500,5840
Woodstock,5500,26542,54900,0
Braintree,5900,3700,2500,0
Warren,3267,4300,1000,0
Roxbury,1150,5100,0,0
Pittsfield,3881,9250,2500,0
Bethel,12120,7450,15500,0
Hancock,403,2000,4000,5000
Corinth,6800,0,0,0
Royalton,360,2600,5500,0
Waitsfield,1828,10988,27500,5000
Rochester,6162,9150,15250,0
Granville,2396,800,5000,0
Berlin,7609,2250,3000,0
Barre,650,5250,2500,0
Waterbury,1611,90500,69000,33231
Stockbridge,2112,3050,6000,0
Middlesex,1950,2950,0,0
Northfield,1000,29392,16500,0
Rutland,16023,6750,6500,0
Bennington,3622,0,2500,0
Richmond,618,20400,3000,0
All Towns - Technical Guidance,0,225000,0,0
Barnet,0,2000,0,0
Bolton,0,600,2500,0
Bradford,0,10996,0,0
Brookline,0,600,0,0
West Windsor,0,1000,2500,5000
Castleton,0,550,0,0
Charlotte,0,500,0,0
Dover,0,52494,5500,0
Duxbury,0,4300,11000,0
Arlington,0,2750,1750,4000
Dorset,0,3500,0,0
East Montpelier,0,500,0,0
Grafton,0,500,0,0
Groton,0,2000,2500,0
Londonderry,0,7400,10000,0
Manchester,0,11050,0,0
Montpelier,0,8000,6000,0
Moretown,0,14200,16500,0
Mount Holly,0,2400,0,0
Mount Tabor,0,500,0,0
New Haven,0,2250,0,0
Ferrisburgh,0,500,0,0
Norwich,0,2940,0,0
Pawlet,0,1750,4500,0
Plymouth,0,1000,0,0
Poultney,0,2550,0,0
Proctor,0,700,0,0
Randolph,0,4874,4000,0
Shrewsbury,0,500,1500,3000
Stowe,0,500,0,0
Wallingford,0,4700,0,0
West Rutland,0,2250,1000,0
Sunderland,0,0,1000,0
Hardwick,0,0,2000,0
Ryegate,0,0,500,0
Burlington,0,0,2000,0
Elmore,0,0,1500,0
Cambridge,0,0,1000,0
Thetford,0,0,2000,0
Tunbridge,0,0,1000,0
Brandon,0,0,2000,12159
Killington,0,0,4500,0
Windham,0,0,1500,0
Hartland,0,0,1000,0
statewide,0,0,0,2750
