Individual,Total Awarded,County
Anonymous Farmer,12000,Addison County
Anonymous Farmer,16000,Addison County
Anonymous Farmer,3200,Addison County
Anonymous Farmer,2000,Addison County
Anonymous Farmer,18800,Addison County
Anonymous Farmer,11400,Addison County
Anonymous Farmer,1000,Addison County
Anonymous Farmer,20000,Addison County
Anonymous Farmer,8000,Addison County
Anonymous Farmer,19000,Addison County
Anonymous Farmer,2000,Addison County
Anonymous Farmer,30000,Addison County
Anonymous Farmer,6000,Addison County
Anonymous Farmer,4000,Addison County
Anonymous Farmer,9000,Addison County
Anonymous Farmer,6800,Addison County
Anonymous Farmer,6900,Addison County
Anonymous Farmer,5000,Addison County
Anonymous Farmer,7500,Addison County
Anonymous Farmer,4500,Addison County
Anonymous Farmer,30000,Addison County
Anonymous Farmer,6150,Addison County
Anonymous Farmer,28125,Addison County
Anonymous Farmer,10500,Addison County
Anonymous Farmer,10000,Addison County
Anonymous Farmer,8200,Addison County
Anonymous Farmer,28000,Addison County
Anonymous Farmer,8000,Addison County
Anonymous Farmer,10850,Addison County
Anonymous Farmer,10000,Addison County
Anonymous Farmer,26000,Addison County
Anonymous Farmer,25000,Addison County
Anonymous Farmer,3000,Addison County
Anonymous Farmer,3000,Addison County
Anonymous Farmer,9300,Addison County
Anonymous Farmer,18000,Addison County
Anonymous Farmer,5700,Addison County
Anonymous Farmer,2200,Bennington County
Anonymous Farmer,14500,Bennington County
Anonymous Farmer,5000,Bennington County
Anonymous Farmer,2500,Bennington County
Anonymous Farmer,5000,Bennington County
Anonymous Farmer,2400,Bennington County
Anonymous Farmer,4000,Bennington County
Anonymous Farmer,10500,Bennington County
Anonymous Farmer,1300,Bennington County
Anonymous Farmer,10700,Bennington County
Anonymous Farmer,1000,Caledonia County
Anonymous Farmer,2400,Caledonia County
Anonymous Farmer,3000,Caledonia County
Anonymous Farmer,9000,Caledonia County
Anonymous Farmer,2400,Caledonia County
Anonymous Farmer,4000,Caledonia County
Anonymous Farmer,4000,Caledonia County
Anonymous Farmer,12200,Chittenden County
Anonymous Farmer,30000,Chittenden County
Anonymous Farmer,5000,Chittenden County
Anonymous Farmer,600,Chittenden County
Anonymous Farmer,2500,Chittenden County
Anonymous Farmer,2000,Chittenden County
Anonymous Farmer,20000,Chittenden County
Anonymous Farmer,20000,Chittenden County
Anonymous Farmer,600,Chittenden County
Anonymous Farmer,600,Chittenden County
Anonymous Farmer,32200,Chittenden County
Anonymous Farmer,15900,Chittenden County
Anonymous Farmer,30000,Chittenden County
Anonymous Farmer,8500,Chittenden County
Anonymous Farmer,22500,Chittenden County
Anonymous Farmer,8200,Chittenden County
Anonymous Farmer,5000,Chittenden County
Anonymous Farmer,20000,Chittenden County
Anonymous Farmer,7500,Chittenden County
Anonymous Farmer,600,Chittenden County
Anonymous Farmer,30000,Chittenden County
Anonymous Farmer,1900,Chittenden County
Anonymous Farmer,16350,Chittenden County
Anonymous Farmer,2600,Chittenden County
Anonymous Farmer,8500,Chittenden County
Anonymous Farmer,10000,Chittenden County
Anonymous Farmer,4000,Chittenden County
Anonymous Farmer,6300,Chittenden County
Anonymous Farmer,600,Chittenden County
Anonymous Farmer,4500,Essex County
Anonymous Farmer,3400,Essex County
Anonymous Farmer,8000,Franklin County
Anonymous Farmer,2100,Franklin County
Anonymous Farmer,14000,Franklin County
Anonymous Farmer,24000,Franklin County
Anonymous Farmer,11500,Franklin County
Anonymous Farmer,6400,Franklin County
Anonymous Farmer,13200,Grand Isle County
Anonymous Farmer,4000,Grand Isle County
Anonymous Farmer,1000,Grand Isle County
Anonymous Farmer,3000,Lamoille County
Anonymous Farmer,30000,Lamoille County
Anonymous Farmer,1500,Lamoille County
Anonymous Farmer,14400,Lamoille County
Anonymous Farmer,10000,Lamoille County
Anonymous Farmer,7000,Lamoille County
Anonymous Farmer,9000,Lamoille County
Anonymous Farmer,250,Lamoille County
Anonymous Farmer,8000,Lamoille County
Anonymous Farmer,6000,Lamoille County
Anonymous Farmer,3000,Lamoille County
Anonymous Farmer,13700,Orange County
Anonymous Farmer,4000,Orange County
Anonymous Farmer,1500,Orange County
Anonymous Farmer,5000,Orange County
Anonymous Farmer,8000,Orange County
Anonymous Farmer,9500,Orange County
Anonymous Farmer,5700,Orange County
Anonymous Farmer,2500,Orange County
Anonymous Farmer,30000,Orange County
Anonymous Farmer,30000,Orange County
Anonymous Farmer,10000,Orange County
Anonymous Farmer,9000,Orleans County
Anonymous Farmer,16000,Orleans County
Anonymous Farmer,6200,Orleans County
Anonymous Farmer,500,Orleans County
Anonymous Farmer,4000,Orleans County
Anonymous Farmer,2500,Orleans County
Anonymous Farmer,7500,Orleans County
Anonymous Farmer,3000,Orleans County
Anonymous Farmer,1000,Orleans County
Anonymous Farmer,4000,Rutland County
Anonymous Farmer,16800,Rutland County
Anonymous Farmer,3000,Rutland County
Anonymous Farmer,5000,Rutland County
Anonymous Farmer,2400,Rutland County
Anonymous Farmer,30000,Rutland County
Anonymous Farmer,1500,Rutland County
Anonymous Farmer,29000,Rutland County
Anonymous Farmer,14900,Rutland County
Anonymous Farmer,1500,Rutland County
Anonymous Farmer,2000,Rutland County
Anonymous Farmer,30000,Rutland County
Anonymous Farmer,2000,Rutland County
Anonymous Farmer,14500,Rutland County
Anonymous Farmer,5000,Rutland County
Anonymous Farmer,10000,Rutland County
Anonymous Farmer,30000,Rutland County
Anonymous Farmer,11000,Rutland County
Anonymous Farmer,25500,Rutland County
Anonymous Farmer,11125,Rutland County
Anonymous Farmer,21300,Rutland County
Anonymous Farmer,7000,Rutland County
Anonymous Farmer,1000,Rutland County
Anonymous Farmer,9000,Rutland County
Anonymous Farmer,8250,Rutland County
Anonymous Farmer,20000,Rutland County
Anonymous Farmer,1000,Rutland County
Anonymous Farmer,1000,Rutland County
Anonymous Farmer,10000,Rutland County
Anonymous Farmer,20000,Washington County
Anonymous Farmer,2000,Washington County
Anonymous Farmer,7000,Washington County
Anonymous Farmer,20000,Washington County
Anonymous Farmer,7500,Washington County
Anonymous Farmer,7000,Washington County
Anonymous Farmer,20000,Washington County
Anonymous Farmer,7000,Washington County
Anonymous Farmer,7000,Washington County
Anonymous Farmer,30000,Washington County
Anonymous Farmer,27723.35,Washington County
Anonymous Farmer,5000,Washington County
Anonymous Farmer,30000,Washington County
Anonymous Farmer,5000,Washington County
Anonymous Farmer,1400,Washington County
Anonymous Farmer,7500,Washington County
Anonymous Farmer,15000,Washington County
Anonymous Farmer,30000,Washington County
Anonymous Farmer,2000,Washington County
Anonymous Farmer,20000,Washington County
Anonymous Farmer,25000,Windham County
Anonymous Farmer,10000,Windham County
Anonymous Farmer,4000,Windham County
Anonymous Farmer,13700,Windham County
Anonymous Farmer,5100,Windham County
Anonymous Farmer,30000,Windham County
Anonymous Farmer,8800,Windham County
Anonymous Farmer,30000,Windham County
Anonymous Farmer,2000,Windham County
Anonymous Farmer,15000,Windham County
Anonymous Farmer,20000,Windham County
Anonymous Farmer,5000,Windham County
Anonymous Farmer,1300,Windham County
Anonymous Farmer,30000,Windham County
Anonymous Farmer,2250,Windham County
Anonymous Farmer,21437,Windsor County
Anonymous Farmer,23700,Windsor County
Anonymous Farmer,15670,Windsor County
Anonymous Farmer,3800,Windsor County
Anonymous Farmer,6000,Windsor County
Anonymous Farmer,12600,Windsor County
Anonymous Farmer,7200,Windham County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,4000,Windsor County
Anonymous Farmer,1800,Windsor County
Anonymous Farmer,16000,Windsor County
Anonymous Farmer,7260,Windsor County
Anonymous Farmer,5288,Windsor County
Anonymous Farmer,14975,Windsor County
Anonymous Farmer,1000,Windsor County
Anonymous Farmer,5000,Windsor County
Anonymous Farmer,13000,Windsor County
Anonymous Farmer,1275,Windsor County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,25000,Windsor County
Anonymous Farmer,20000,Windsor County
Anonymous Farmer,810,Windsor County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,30000,Windsor County
Anonymous Farmer,5000,Windsor County
Anonymous Farmer,20500,Windsor County
Anonymous Farmer,2000,Windsor County
Anonymous Farmer,22200,Windsor County
Anonymous Farmer,4600,Windsor County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,1000,Windsor County
Anonymous Farmer,10000,Windsor County
Anonymous Farmer,15550,Windsor County
Anonymous Farmer,16500,Windsor County
Anonymous Farmer,6400,Windsor County
Anonymous Farmer,20000,Windsor County
Anonymous Farmer,12000,Windsor County
Anonymous Farmer,4300,Windsor County
