,Date,,Name,Town,Total Granted,Auto Payment,Auto Ins,Auto Fuel,Auto Repair,Electricity,Electrical Repairs,Furnishings,Health Ins,Home Ins,House hold,House Repairs,Medical,Mortgage,Rent,Moving,Propane/ Pellets/Oil,Phone,Trash,Water Sewer,"Repair Water
"
1,9.8.11,,"Single Woman
",Wilmington,3976.5,,,,,247.18,,,,,,,,,456.00,,525.88,,,,
,9.26.11,,,,,,,,,,,,,,,,,,456.00,,,,,,
,10.28.11,,,,,,,,,,,,,,,,,,456.00,,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,570.00,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,,570.00,,,,,,
,12.31.11,,,,,,,125.44,,,,,,,,,,,570.00,,,,,,
2,9.7.11,,Single Woman,Wilmington,4340.85,397.98,,,,167.88,,,,,,,,,780.00,,,,,,
,10.6.11,,,,,379.03,,,,,,,,,,,,,520.00,,,,,,
,11.15.11,,,,,397.98,,,,,,,,,,,,,,,,,,,
,12.5.11,,,,,397.98,,,,,,,,,,,,,650.00,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,,650.00,,,,,,
3,9.7.11,,Single Woman,Wilmington,1240,,,,,,,,,,,,,,540.00,,,,,,
,9.30.11,,,,,,,,,,,700.00,,,,,,,,,,,,,
4,9.7.11,,Couple,Wilmington,197.86,,,,,197.86,,,,,,,,,,,,,,,
5,9.8.11,,Family,Wilmington,938.47,200.00,,50.00,,200.00,,,,,15.00,,,,,,,187.00,,,
,9.20.11,,,,,,246.97,,,,,,,,,,,,,,,,39.50,,
6,9.8.11,,Single Woman,Wilmington,2200,,,,,,,,,,,,,,450.00,,,,,,
,10.25.11,,,,,,,,,,,,,,,,,,450.00,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,,650.00,,,,,,
,12.13.11,,,,,,,,,,,,,,,,,,650.00,,,,,,
7,9.8.11,,Couple,Wilmington,1206.9,,,,,96.42,,,,,,,,558.84,,,551.64,,,,
8,9.9.11,,Couple,Wilmington,5753.66,292.39,,,,155.98,,,,,,,,,,,251.65,,,,
,10.7.11,,,,,292.37,,,,,,,,,,,,"1,064.07",,,599.30,76.21,,,
,11.7.11,,,,,292.35,227.33,,,165.51,,,,,,,,"1,064.07",,,,76.36,,132.00,
,12.5.11,,,,,,,,,,,,,,,,,"1,064.07",,,,,,,
9,9.9.11,,Single Woman,Wilmington,200,,,,,,,,,,,,,,,,,200.00,,,
10,10.21.11,,Couple,Whitingham,454.94,,,,,,,,,,,,,,,,454.94,,,,
11,9.15.11,,Family,Jacksonville,1169.65,,,,,114.82,,,,,,,,,,,400.00,,,,
,11.4.11,,,,,,,,,109.91,,,,,,,,,,,544.92,,,,
12,9.15.11,,Single Mother,Jacksonville,3178.5,373.14,,,,60.67,,,,,,,,,700.00,,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,700.00,,,,,,
,11.15.11,,,,,,"1,344.69",,,,,,,,,,,,,,,,,,
13,9.20.11,,Single Woman,Wilmington,1656,,,,,,,,,,,,,,552.00,,,,,,
,9.21.11,,,,,,,,,,,,,,,,,,552.00,,,,,,
,11.17.11,,,,,,,,,,,,,,,,,,552.00,,,,,,
14,9.20.11,,Couple,Jacksonville,213.99,,,,,83.18,,,,,,,,,,,,130.81,,,
15,9.22.11,,Single Mother,West Dover,874.48,,,,874.48,,,,,,,,,,,,,,,,
16,9.20.11,,Single Mother,East Dover,900.4,,,,,,,,,,,,,,,,,,,,900.40
17,9.23.11,,Single Mother,Wilmington,1394.48,,,,,301.27,,,,,,,,,500.00,,,,,,
,11.15.11,,,,,,,,,93.21,,,,,,,,,500.00,,,,,,
18,9.23.11,,Single Mother,Wilmington,2187.46,,,,,,,,,,,,,,"2,048.00",,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,,139.46,,,,,
19,9.30.11,,Single Mother,Wilmington,668.59,,,,,,,,,,,,,,550.00,,,,,,
,11.21.11,,,,,,,,,,,,,,,,,,,118.59,,,,,
20,10.14.11,,Couple,Whitingham,1600,,,,,,,,,,,,,,800.00,,,,,,
,11.11.11,,,,,,,,,,,,,,,,,,800.00,,,,,,
21,9.26.11,,Single Mother,Jacksonville,5164.59,,,,,,,,,,,,,,,,631.44,,,,
,10.21.11,,,,,,,,,,,,,,,,,"1,434.14",,,,,,,
,11.4.11,,,,,,,,,,,,,,,,230.73,"1,434.14",,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,"1,434.14",,,,,,,
22,9.26.11,,Single Man,Wilmington,2200,,,,,,,,,,200.00,,,,500.00,,,,,,
,10.21.11,,,,,,,,,,,,,,,,,,500.00,,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
23,9.26.11,,Family,Wilmington,2146.17,,,50.00,,139.32,,,,,,,,,,,268.00,,,,
,10.19.11,,,,,,,,,488.85,,,,,,"1,200.00",,,,,,,,,
24,9.30.11,,Single Woman,Jacksonville,6500,,,,,,"6,500.00",,,,,,,,,,,,,,
25,9.30.11,,Couple Elder,Wilmington,693.6,,,,543.15,,,,,,,,,,,,150.45,,,,
26,10.12.11,,Single Woman,Wilmington,2150.9,,,,,,,,,,353.88,,,,,97.02,,,,,
,11.7.11,,,,,,,,,,,,,,,,,,850.00,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,,850.00,,,,,,
27,9.30.11,,Couple,Whitingham,784.89,,,,,109.23,,,,,,,,,,,476.81,,,,
,11.22.11,,,,,,,,,,,,,,,,,,,,,,,154.10,
,12.5.11,,,,,,,,,44.75,,,,,,,,,,,,,,,
28,9.28.11,,Single Mother,Wilmington,720,,,,,,,,,,,,,,720.00,,,,,,
29,,,Couple,Wilmington,0,,,,,,,,,,,,,,,,,,,,
30,,,Single Mother,Wilmington,0,,,,,,,,,,,,,,,,,,,,
31,10.11.11,,Family,West Dover,765.53,,,50.00,,,,,,,,,,,,,,,280.00,,
,12.5.11,,,,,,,,,,,,,,,134.68,,,,,300.85,,,,
32,9.30.11,,Family,West Dover,1356.9,422.66,,,,204.24,,,,,,,,,,,,,,,
,11.11.11,,,,,,,,,,,,,,,,,,730.00,,,,,,
33,10.7.11,,Single Mother,Whitingham,2066,,,,,100.00,,,,,,,,,"1,966.00",,,,,,
34,9.30.11,,Single Mother,Wilmington,520,,,,,,,,,,,,,,520.00,,,,,,
35,,,Single Woman,Wilmington,0,,,,,,,,,,,,,,,,,,,,
36,10.7.11,,Family,Wilmington,2594.98,,,,,,,,,,,,,,,,,,,,"1,594.98"
,11.4.11,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,
37,,,Single Man,Wilmington,0,,,,,,,,,,,,,,,,,,,,
38,10.7.11,,Single Man,Wilmington,3942.45,,639.00,,,,,,,,,,,,,,,,,,
,10.25.11,,,,,,,,,,,,,,,,,"1,105.04",,,,,,,
,11.17.11,,,,,,,,,,,,,,,,,"1,105.04",,,,,,,
,12.12.11,,,,,,,,,,,,,,,,,"1,093.37",,,,,,,
39,,,Couple,Wilmington,0,,,,,,,,,,,,,,,,,,,,
40,10.7.11,,Family,West Dover,8780.42,789.46,,,,529.77,,,,,,,,,"2,700.00",,695.19,,,,
,,,,,,,,,,,,"4,066.00",,,,,,,,,,,,,
41,10.10.11,,Couple Elder,Wilmington,6149,,,,,,"1,580.00",499.00,,,,,,,,,,,,,"1,200.00"
,11.15.11,,,,,,,,,,,,,,,,,,,,,,,,"2,870.00"
42,10.21.11,,Single Woman,Wilmington,1220.1,,,,,,,,,,,,,,,,,,,"1,220.10",
43,,,Single Mother,Wilmington,0,,,,,,,,,,,,,,,,,,,,
44,10.14.11,,Single Woman,Whitingham,2837.69,,,,,,,,,,,,,774.78,,,862.25,,,,
,11.4.11,,,,,,,,,122.75,,,,144.25,,,,774.78,,,,78.88,,,80.00
